id,timestamp,image_path,predicted_class,predicted_label,confidence,status,missing_items,corrected_class,corrected_label,notes,face_count,training_candidate,exported_for_training,created_at,workplace_id,model_version,device_id,detected_hamer,detected_schaar,detected_sleutel,total_detections,model_type
323,20251226_180127,uploads\inspect_20251226_180127.jpg,2,NOK - Hamer weg,0.7898503541946411,NOK,"[""hamer""]",2,NOK - Hamer weg,,0,0,0,2025-12-26 17:01:27,2,,Windows - 10/11 - Firefox,0,2,1,3,detection
322,20251226_174040,uploads\inspect_20251226_174040.jpg,7,NOK - Hamer en sleutel weg,0.7310615181922913,NOK,"[""hamer"", ""sleutel""]",7,NOK - Hamer en sleutel weg,,0,0,0,2025-12-26 16:40:40,2,,Windows - 10/11 - Firefox,0,1,0,1,detection
321,20251226_174025,uploads\inspect_20251226_174025.jpg,7,NOK - Hamer en sleutel weg,0.7771520614624023,NOK,"[""hamer"", ""sleutel""]",7,NOK - Hamer en sleutel weg,,0,0,0,2025-12-26 16:40:25,2,,Windows - 10/11 - Firefox,0,1,0,1,detection
320,20251226_172858,uploads\inspect_20251226_172858.jpg,7,Onbekend,0.8164658546447754,UNKNOWN,[],,,,0,0,0,2025-12-26 16:28:58,2,,Windows - 10/11 - Firefox,0,1,0,1,detection
319,20251226_171921,uploads\inspect_20251226_171921.jpg,7,NOK - Hamer en sleutel weg,0.7310615181922913,NOK,"[""hamer"", ""sleutel""]",,,,0,0,0,2025-12-26 16:19:21,2,,Windows - 10/11 - Firefox,0,1,0,1,detection
318,20251226_171739,uploads\inspect_20251226_171739.jpg,6,NOK - Alleen sleutel,0.9999513626098633,NOK,"[""hamer"", ""schaar""]",,,,0,0,0,2025-12-26 16:17:39,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
317,20251226_171717,uploads\inspect_20251226_171717.jpg,6,NOK - Alleen sleutel,0.999976634979248,NOK,"[""hamer"", ""schaar""]",,,,0,0,0,2025-12-26 16:17:17,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
316,20251226_162606,uploads\inspect_20251226_162606.jpg,2,NOK - Hamer weg,0.8069646954536438,NOK,"[""hamer""]",1,NOK-hamer_schaar_ontbreekt,"{""missing_items"":[""hamer"",""schaar""],""false_positives"":[],""detailed_feedback"":{""hamer"":""ontbreekt"",""schaar"":""ontbreekt"",""sleutel"":""aanwezig""}}",0,1,0,2025-12-26 15:26:06,2,,Windows - 10/11 - Firefox,0,1,1,2,detection
315,20251225_164727,uploads\inspect_20251225_164727.jpg,0,OK,0.9629481434822083,OK,[],,,,0,0,0,2025-12-25 15:47:27,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
314,20251224_230045,uploads\inspect_20251224_230045.jpg,3,NOK - Schaar weg,0.6354702711105347,NOK,"[""schaar""]",,,,0,0,0,2025-12-24 22:00:45,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
313,20251224_225959,uploads\inspect_20251224_225959.jpg,0,OK,0.4366509020328522,OK,[],,,,0,0,0,2025-12-24 21:59:59,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,classification
312,20251224_225908,uploads\inspect_20251224_225908.jpg,1,NOK - Alles weg,0.5,NOK,"[""hamer"", ""schaar"", ""sleutel""]",,,,0,0,0,2025-12-24 21:59:08,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,detection
311,20251224_210345,uploads\inspect_20251224_210345.jpg,0,OK,0.8252130746841431,OK,[],,,,0,0,0,2025-12-24 20:03:45,2,,iPhone - iOS 18.7 - Safari,1,1,1,3,detection
310,20251224_210317,uploads\inspect_20251224_210317.jpg,5,NOK - Sleutel weg,0.8113895058631897,NOK,"[""sleutel""]",,,,0,0,0,2025-12-24 20:03:17,2,,iPhone - iOS 18.7 - Safari,1,2,0,3,detection
309,20251224_210226,uploads\inspect_20251224_210226.jpg,0,OK,0.7654767036437988,OK,[],,,,0,0,0,2025-12-24 20:02:26,2,,iPhone - iOS 18.7 - Safari,1,1,1,3,detection
308,20251224_210110,uploads\inspect_20251224_210110.jpg,0,OK,0.8356643915176392,OK,[],,,,0,0,0,2025-12-24 20:01:11,2,,iPhone - iOS 18.7 - Safari,1,1,3,5,detection
307,20251224_210036,uploads\inspect_20251224_210036.jpg,7,NOK - Hamer en sleutel weg,0.2512661814689636,NOK,"[""hamer"", ""sleutel""]",,,,0,0,0,2025-12-24 20:00:36,2,,iPhone - iOS 18.7 - Safari,0,1,0,1,detection
306,20251224_205957,uploads\inspect_20251224_205957.jpg,3,NOK - Schaar weg,0.39681729674339294,NOK,"[""schaar""]",,,,0,0,0,2025-12-24 19:59:57,2,,iPhone - iOS 18.7 - Safari,1,0,2,3,detection
305,20251224_205928,uploads\inspect_20251224_205928.jpg,6,NOK - Alleen sleutel,0.42073139548301697,NOK,"[""hamer"", ""schaar""]",,,,0,0,0,2025-12-24 19:59:29,2,,iPhone - iOS 18.7 - Safari,0,0,2,2,detection
304,20251224_205852,uploads\inspect_20251224_205852.jpg,0,OK,0.8295934796333313,OK,[],,,,0,0,0,2025-12-24 19:58:52,2,,iPhone - iOS 18.7 - Safari,1,1,1,3,detection
303,20251224_201144,uploads\inspect_20251224_201144.jpg,1,NOK - Alles weg,0.5,NOK,"[""hamer"", ""schaar"", ""sleutel""]",,,,0,0,0,2025-12-24 19:11:44,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,detection
302,20251224_201055,uploads\inspect_20251224_201055.jpg,1,NOK - Alles weg,0.5,NOK,"[""hamer"", ""schaar"", ""sleutel""]",,,,0,0,0,2025-12-24 19:10:56,2,,iPhone - iOS 18.7 - Safari,0,0,0,0,detection
301,20251224_170634,uploads\inspect_20251224_170634.jpg,6,NOK - Alleen sleutel,0.11101246625185013,NOK,"[""hamer"", ""schaar""]",,,,0,0,0,2025-12-24 16:06:34,2,,iPhone - iOS 18.7 - Safari,0,0,1,1,detection
300,20251224_170453,uploads\inspect_20251224_170453.jpg,4,NOK - Schaar en sleutel weg,0.4957556426525116,NOK,"[""schaar"", ""sleutel""]",1,NOK-alles_weg,,0,1,0,2025-12-24 16:04:53,2,,iPhone - iOS 18.7 - Safari,4,0,0,4,detection
299,20251224_170432,uploads\inspect_20251224_170432.jpg,6,NOK - Alleen sleutel,0.7542941570281982,NOK,"[""hamer"", ""schaar""]",,,,0,0,0,2025-12-24 16:04:32,2,,Windows - 10/11 - Firefox,0,0,1,1,detection
298,20251224_152837,uploads\inspect_20251224_152837.jpg,2,NOK - Hamer weg,0.7701667547225952,NOK,"[""hamer""]",6,NOK-alleen_sleutel,,0,1,1,2025-12-24 14:28:37,2,,Windows - 10/11 - Firefox,0,1,1,2,detection
297,20251224_151420,uploads\inspect_20251224_151420.jpg,6,NOK - Alleen sleutel,0.7727519273757935,NOK,"[""hamer"", ""schaar""]",6,NOK - Alleen sleutel,,0,0,0,2025-12-24 14:14:20,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
296,20251224_151351,uploads\inspect_20251224_151351.jpg,2,NOK - Hamer weg,0.7932991981506348,NOK,"[""hamer""]",,,,0,0,0,2025-12-24 14:13:51,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
295,20251224_151208,uploads\inspect_20251224_151208.jpg,0,OK,0.9852004051208496,OK,[],,,,0,0,0,2025-12-24 14:12:08,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
294,20251224_151035,uploads\inspect_20251224_151035.jpg,2,NOK - Hamer weg,0.87,NOK,"[""hamer""]",,,,0,0,0,2025-12-24 14:10:35,2,,Windows - 10/11 - Firefox,0,0,0,0,classification
